,name,label
711,0_1120,24
712,0_1121,2
713,0_1124,24
714,0_1125,24
715,0_1128,9
716,0_1129,5
717,0_1130,24
718,0_1131,23
719,0_1134,24
720,0_1136,31
721,0_1138,33
722,0_1139,5
723,0_1142,8
724,0_1143,24
725,0_1144,4
726,0_1146,24
727,0_1147,28
728,0_1149,2
729,0_1152,24
730,0_1157,20
731,0_1159,24
732,0_1160,24
733,0_1161,27
734,0_1162,4
735,0_1163,24
736,0_1165,9
737,0_1168,4
738,0_1174,24
739,0_1180,8
740,0_1181,28
741,0_1182,24
742,0_1186,24
743,0_1187,5
744,0_1188,24
745,0_1189,24
746,0_1190,24
747,0_1192,2
748,0_1194,2
749,0_1195,24
750,0_1196,4
751,0_1201,24
752,0_1203,27
753,0_1206,8
754,0_1207,22
755,0_1208,24
756,0_1209,39
757,0_1212,24
758,0_1213,26
759,0_1214,24
760,0_1215,24
761,0_1216,24
762,0_1218,24
763,0_1220,24
764,0_1222,24
765,0_1225,24
766,0_1229,28
767,0_1230,27
768,0_1235,24
769,0_1237,18
770,0_1239,24
771,0_1242,5
772,0_1243,28
773,0_1244,24
774,0_1247,31
775,0_1248,27
776,0_1250,23
777,0_1254,24
778,0_1255,24
779,0_1257,24
780,0_1258,24
781,0_1260,24
782,0_1261,25
783,0_1262,39
784,0_1263,8
785,0_1265,24
786,0_1266,5
787,0_1267,2
788,0_1268,9
789,0_1269,28
790,0_1271,7
791,0_1272,27
792,0_1273,28
793,0_1274,31
794,0_1275,28
795,0_1277,4
796,0_1282,28
797,0_1284,28
798,0_1285,15
799,0_1286,24
800,0_1287,4
801,0_1288,27
802,0_1289,24
803,0_1290,4
804,0_1293,28
805,0_1294,25
806,0_1295,24
807,0_1300,9
808,0_1301,2
809,0_1303,15
810,0_1304,28
811,0_1305,24
812,0_1306,4
813,0_1308,5
814,0_1309,29
815,0_1310,27
816,0_1312,24
817,0_1313,24
818,0_1316,24
819,0_1325,24
820,0_1327,24
821,0_1330,20
822,0_1331,7
823,0_1332,26
824,0_1335,28
825,0_1336,24
826,0_1337,24
827,0_1339,22
828,0_1340,28
829,0_1344,31
830,0_1345,25
831,0_1346,26
832,0_1347,2
833,0_1348,28
834,0_1349,7
835,0_1350,24
836,0_1352,28
837,0_1353,24
838,0_1354,26
839,0_1355,28
840,0_1358,26
841,0_1360,9
842,0_1361,28
843,0_1362,28
844,0_1363,20
845,0_1364,9
846,0_1366,24
847,0_1367,5
848,0_1368,3
849,0_1369,26
850,0_1370,8
851,0_1371,8
852,0_1372,23
853,0_1374,28
854,0_1375,13
855,0_1376,24
856,0_1377,4
857,0_1378,7
858,0_1379,24
859,0_1380,28
860,0_1381,26
861,0_1383,8
862,0_1384,28
863,0_1385,28
864,0_1386,24
865,0_1387,23
866,0_1389,5
867,0_1390,28
868,0_1391,33
869,0_1392,28
870,0_1393,24
871,0_1394,4
872,0_1395,28
873,0_1397,13
874,0_1399,39
875,0_1400,3
876,0_1402,28
877,0_1404,2
878,0_1405,24
879,0_1406,39
880,0_1407,2
881,0_1408,23
882,0_1409,28
883,0_1412,24
884,0_1414,3
885,0_1419,24
886,0_1420,31
887,0_1422,26
888,0_1423,8
889,0_1427,8
890,0_1428,4
891,0_1430,28
892,0_1431,39
893,0_1433,5
894,0_1434,28
895,0_1435,28
896,0_1437,28
897,0_1439,17
898,0_1440,28
899,0_1441,33
900,0_1442,5
901,0_1443,28
902,0_1444,28
903,0_1446,7
904,0_1449,28
905,0_1450,28
906,0_1452,23
907,0_1453,22
908,0_1454,8
909,0_1455,28
910,0_1457,28
911,0_1459,8
912,0_1460,23
913,0_1461,28
914,0_1462,7
915,0_1463,28
916,0_1464,28
917,0_1465,28
918,0_1466,28
919,0_1467,5
920,0_1469,26
921,0_1470,22
922,0_1471,28
923,0_1472,33
924,0_1474,31
925,0_1475,28
926,0_1476,29
927,0_1477,28
928,0_1479,28
929,0_1480,33
930,0_1481,3
931,0_1482,24
932,0_1484,13
933,0_1485,2
934,0_1486,26
935,0_1488,28
936,0_1490,4
937,0_1492,24
938,0_1494,7
939,0_1495,26
940,0_1496,2
941,0_1497,9
942,0_1498,8
943,0_1499,8
944,0_1500,18
945,0_1501,28
946,0_1503,39
947,0_1504,13
948,0_1505,9
949,0_1507,8
950,0_1508,13
951,0_1510,4
952,0_1511,5
953,0_1512,28
954,0_1514,8
955,0_1515,9
956,0_1516,8
957,0_1517,28
958,0_1518,28
959,0_1519,28
960,0_1521,4
961,0_1523,8
962,0_1527,13
963,0_1528,8
964,0_1530,28
965,0_1531,28
966,0_1532,24
967,0_1534,28
968,0_1535,28
969,0_1538,28
970,0_1539,9
971,0_1540,28
972,0_1541,24
973,0_1543,4
974,0_1544,4
975,0_1545,28
976,0_1546,4
977,0_1547,24
978,0_1550,5
979,0_1552,4
980,0_1554,26
981,0_1555,27
982,0_1557,8
983,0_1558,24
984,0_1560,26
985,0_1562,5
986,0_1563,9
987,0_1564,24
988,0_1566,2
989,0_1567,22
990,0_1569,33
991,0_1571,9
992,0_1572,24
993,0_1573,26
994,0_1574,4
995,0_1576,29
996,0_1577,15
997,0_1578,28
998,0_1581,28
999,0_1582,8
1000,0_1583,39
1001,0_1586,9
1002,0_1587,13
1003,0_1589,28
1004,0_1590,20
1005,0_1591,7
1006,0_1595,7
1007,0_1596,9
1008,0_1597,28
1009,0_1598,3
1010,0_1600,28
1011,0_1601,33
1012,0_1602,4
1013,0_1603,24
1014,0_1604,5
1015,0_1607,23
1016,0_1608,28
1017,0_1609,28
1018,0_1610,5
1019,0_1611,26
1020,0_1612,8
1021,0_1613,28
1022,0_1614,31
1023,0_1616,9
1024,0_1617,5
1025,0_1622,28
1026,0_1625,4
1027,0_1626,8
1028,0_1627,28
1029,0_1628,27
1030,0_1629,28
1031,0_1630,29
1032,0_1633,24
1033,0_1634,25
1034,0_1635,33
1035,0_1639,28
1036,0_1641,24
1037,0_1644,24
1038,0_1647,15
1039,0_1649,27
1040,0_1650,24
1041,0_1651,8
1042,0_1652,4
1043,0_1655,5
1044,0_1657,1
1045,0_1661,24
1046,0_1662,28
1047,0_1665,8
1048,0_1666,28
1049,0_1667,25
1050,0_1669,0
1051,0_1671,24
1052,0_1672,28
1053,0_1675,8
1054,0_1676,28
1055,0_1677,4
1056,0_1678,24
1057,0_1680,22
1058,0_1681,28
1059,0_1682,28
1060,0_1684,27
1061,0_1685,31
1062,0_1686,28
1063,0_1687,23
1064,0_1688,3
1065,0_1691,24
1066,0_1693,28
1067,0_1696,13
1068,0_1697,28
1069,0_1699,25
1070,0_1700,28
1071,0_1701,26
1072,0_1705,28
1073,0_1707,27
1074,0_1711,20
1075,0_1714,33
1076,0_1715,33
1077,0_1716,25
1078,0_1718,27
1079,0_1719,3
1080,0_1721,27
1081,0_1725,28
1082,0_1727,13
1083,0_1731,26
1084,0_1732,28
1085,0_1733,8
1086,0_1736,25
1087,0_1737,27
1088,0_1738,24
1089,0_1741,24
1090,0_1742,28
1091,0_1746,15
1092,0_1747,7
1093,0_1748,4
1094,0_1750,22
1095,0_1751,24
1096,0_1752,28
1097,0_1757,33
1098,0_1758,4
1099,0_1759,29
1100,0_1760,28
1101,0_1761,24
1102,0_1762,24
1103,0_1766,8
1104,0_1767,26
1105,0_1770,26
1106,0_1771,13
1107,0_1772,4
1108,0_1773,26
1109,0_1774,25
1110,0_1775,8
1111,0_1776,24
1112,0_1777,8
1113,0_1778,25
1114,0_1779,24
1115,0_1782,8
1116,0_1783,24
1117,0_1790,24
1118,0_1791,24
1119,0_1792,28
1120,0_1793,2
1121,0_1795,39
1122,0_1796,22
1123,0_1800,24
1124,0_1802,24
1125,0_1805,31
1126,0_1806,28
1127,0_1807,28
1128,0_1808,28
1129,0_1809,4
1130,0_1812,33
1131,0_1813,28
1132,0_1814,28
1133,0_1815,28
1134,0_1816,8
1135,0_1819,28
1136,0_1820,5
1137,0_1821,2
1138,0_1825,9
1139,0_1826,24
1140,0_1827,24
1141,0_1830,24
1142,0_1832,27
1143,0_1833,4
1144,0_1834,18
1145,0_1835,8
1146,0_1836,24
1147,0_1837,27
1148,0_1838,28
1149,0_1839,24
1150,0_1840,20
1151,0_1842,28
1152,0_1844,24
1153,0_1845,28
1154,0_1847,5
1155,0_1848,28
1156,0_1853,22
1157,0_1854,26
1158,0_1855,28
1159,0_1856,18
1160,0_1857,27
1161,0_1858,27
1162,0_1859,8
1163,0_1860,13
1164,0_1861,24
1165,0_1865,27
1166,0_1867,5
1167,0_1873,26
1168,0_1876,24
1169,0_1877,28
1170,0_1878,27
1171,0_1879,31
1172,0_1880,5
1173,0_1881,2
1174,0_1887,24
1175,0_1888,13
1176,0_1889,8
1177,0_1891,22
1178,0_1892,4
1179,0_1893,2
1180,0_1898,3
1181,0_1899,8
1182,0_1900,23
1183,0_1901,5
1184,0_1902,24
1185,0_1904,9
1186,0_1905,25
1187,0_1908,1
1188,0_1909,27
1189,0_1910,13
1190,0_1911,28
1191,0_1913,24
1192,0_1917,5
1193,0_1918,4
1194,0_1919,24
1195,0_1921,23
1196,0_1925,24
1197,0_1927,24
1198,0_1928,8
1199,0_1931,23
1200,0_1932,31
1201,0_1934,23
1202,0_1935,2
1203,0_1937,31
1204,0_1940,28
1205,0_1941,24
1206,0_1943,24
1207,0_1945,31
1208,0_1950,24
1209,0_1953,4
1210,0_1954,24
1211,0_1955,24
1212,0_1956,18
1213,0_1959,24
1214,0_1962,24
1215,0_1963,24
1216,0_1965,8
1217,0_1967,2
1218,0_1970,22
1219,0_1972,4
1220,0_1975,3
1221,0_1978,31
1222,0_1980,4
1223,0_1983,24
1224,0_1987,26
1225,0_1990,8
1226,0_1991,20
1227,0_1993,24
1228,0_1997,24
1229,0_1998,5
1230,0_1999,24
1231,0_2000,31
1232,0_2003,24
1233,0_2008,8
1234,0_2009,8
1235,0_2010,8
1236,0_2013,5
1237,0_2014,28
1238,0_2016,4
1239,0_2018,26
1240,0_2020,9
1241,0_2021,24
1242,0_2022,5
1243,0_2024,32
1244,0_2026,1
1245,0_2027,27
1246,0_2028,28
1247,0_2029,26
1248,0_2030,27
1249,0_2034,5
1250,0_2037,27
1251,0_2038,8
1252,0_2042,24
1253,0_2046,28
1254,0_2048,24
1255,0_2049,39
1256,0_2051,24
1257,0_2053,24
1258,0_2054,24
1259,0_2055,29
1260,0_2058,24
1261,0_2059,24
1262,0_2065,8
1263,0_2068,24
1264,0_2069,4
1265,0_2070,31
1266,0_2071,24
1267,0_2072,5
1268,0_2073,24
1269,0_2074,24
1270,0_2077,22
1271,0_2079,8
1272,0_2081,24
1273,0_2082,4
1274,0_2083,33
1275,0_2084,24
1276,0_2086,28
1277,0_2089,22
1278,0_2092,24
1279,0_2093,24
1280,0_2096,24
1281,0_2097,24
1282,0_2098,24
1283,0_2101,4
1284,0_2102,24
1285,0_2103,24
1286,0_2105,24
1287,0_2107,4
1288,0_2108,24
1289,0_2109,28
1290,0_2110,24
1291,0_2114,24
1292,0_2115,27
1293,0_2116,28
1294,0_2118,28
1295,0_2119,18
1296,0_2124,24
1297,0_2125,27
1298,0_2126,2
1299,0_2128,24
1300,0_2129,8
1301,0_2131,24
1302,0_2132,28
1303,0_2133,13
1304,0_2135,28
1305,0_2137,28
1306,0_2141,29
1307,0_2142,24
1308,0_2144,25
1309,0_2145,9
1310,0_2146,26
1311,0_2148,33
1312,0_2149,28
1313,0_2151,28
1314,0_2152,28
1315,0_2155,24
1316,0_2157,24
1317,0_2158,24
1318,0_2159,5
1319,0_2160,39
1320,0_2161,28
1321,0_2163,24
1322,0_2165,20
1323,0_2166,25
1324,0_2168,8
1325,0_2169,39
1326,0_2171,28
1327,0_2174,28
1328,0_2177,2
1329,0_2178,17
1330,0_2179,8
1331,0_2180,8
1332,0_2181,2
1333,0_2182,24
1334,0_2183,26
1335,0_2185,28
1336,0_2187,23
1337,0_2189,3
1338,0_2190,24
1339,0_2191,8
1340,0_2193,28
1341,0_2194,24
1342,0_2195,28
1343,0_2196,39
1344,0_2199,9
1345,0_2203,26
1346,0_2205,28
1347,0_2206,28
1348,0_2207,28
1349,0_2210,28
1350,0_2211,8
1351,0_2212,24
1352,0_2213,13
1353,0_2214,3
1354,0_2215,15
1355,0_2218,20
1356,0_2220,25
1357,0_2221,28
1358,0_2222,24
1359,0_2224,23
1360,0_2226,8
1361,0_2227,24
1362,0_2228,5
1363,0_2229,1
1364,0_2230,24
1365,0_2231,20
1366,0_2233,13
1367,0_2234,26
1368,0_2235,28
1369,0_2237,4
1370,0_2238,2
1371,0_2239,2
1372,0_2240,28
1373,0_2241,24
1374,0_2242,23
1375,0_2244,28
1376,0_2246,8
1377,0_2247,24
1378,0_2249,28
1379,0_2251,20
1380,0_2254,4
1381,0_2255,9
1382,0_2256,13
1383,0_2257,22
1384,0_2258,28
1385,0_2259,2
1386,0_2260,28
1387,0_2262,24
1388,0_2264,28
1389,0_2265,2
1390,0_2266,26
1391,0_2267,2
1392,0_2268,28
1393,0_2269,28
1394,0_2271,28
1395,0_2273,24
1396,0_2277,9
1397,0_2278,39
1398,0_2280,26
1399,0_2281,26
1400,0_2282,28
1401,0_2283,9
1402,0_2285,28
1403,0_2286,24
1404,0_2287,28
1405,0_2288,28
1406,0_2291,24
1407,0_2292,3
1408,0_2293,26
1409,0_2296,2
1410,0_2298,2
1411,0_2299,20
1412,0_2301,2
1413,0_2303,4
1414,0_2304,28
1415,0_2305,28
1416,0_2306,33
1417,0_2307,28
1418,0_2308,9
1419,0_2309,28
1420,0_2311,20
1421,0_2312,17
1422,0_2314,3
1423,0_2315,28
1424,0_2316,5
1425,0_2317,28
1426,0_2320,28
1427,0_2322,24
1428,0_2325,39
1429,0_2327,5
1430,0_2328,28
1431,0_2330,28
1432,0_2332,4
1433,0_2334,28
1434,0_2337,5
1435,0_2338,31
1436,0_2339,24
1437,0_2340,27
1438,0_2343,28
1439,0_2344,28
1440,0_2345,29
1441,0_2348,22
1442,0_2351,13
1443,0_2357,1
1444,0_2359,4
1445,0_2360,22
1446,0_2362,28
1447,0_2363,24
1448,0_2366,8
1449,0_2369,33
1450,0_2370,8
1451,0_2372,28
1452,0_2373,24
1453,0_2379,29
1454,0_2380,2
1455,0_2382,5
1456,0_2384,24
1457,0_2385,24
1458,0_2386,28
1459,0_2388,32
1460,0_2389,24
1461,0_2394,9
1462,0_2396,24
1463,0_2400,28
1464,0_2401,8
1465,0_2402,24
1466,0_2409,24
1467,0_2410,24
1468,0_2412,24
1469,0_2417,23
1470,0_2419,4
1471,0_2420,5
1472,0_2421,31
1473,0_2422,4
1474,0_2423,24
1475,0_2424,24
1476,0_2425,3
1477,0_2426,24
1478,0_2429,24
1479,0_2430,24
1480,0_2431,2
1481,0_2434,2
1482,0_2435,23
1483,0_2438,4
1484,0_2440,13
1485,0_2446,23
1486,0_2453,27
1487,0_2454,27
1488,0_2455,24
1489,0_2457,8
1490,0_2458,24
1491,0_2459,4
1492,0_2461,28
1493,0_2463,27
1494,0_2465,27
1495,0_2467,24
1496,0_2468,24
1497,0_2469,28
1498,0_2470,4
1499,0_2471,24
1500,0_2473,28
1501,0_2475,15
1502,0_2477,24
1503,0_2478,28
1504,0_2479,24
1505,0_2481,24
1506,0_2482,3
1507,0_2483,24
1508,0_2484,27
1509,0_2487,25
1510,0_2488,24
1511,0_2489,26
1512,0_2490,24
1513,0_2491,27
1514,0_2492,27
1515,0_2493,24
1516,0_2494,1
1517,0_2496,24
1518,0_2497,5
1519,0_2498,24
1520,0_2499,2
1521,0_2501,5
1522,0_2502,13
1523,0_2503,28
1524,0_2504,31
1525,0_2506,23
1526,0_2507,27
1527,0_2509,28
1528,0_2510,27
1529,0_2511,4
1530,0_2514,27
1531,0_2516,2
1532,0_2517,18
1533,0_2518,4
1534,0_2523,24
1535,0_2526,27
1536,0_2528,24
1537,0_2534,31
1538,0_2535,28
1539,0_2536,24
1540,0_2537,2
1541,0_2539,24
1542,0_2540,3
1543,0_2541,31
1544,0_2542,8
1545,0_2545,26
1546,0_2546,24
1547,0_2548,28
1548,0_2550,8
1549,0_2551,9
1550,0_2552,25
1551,0_2554,24
1552,0_2556,8
1553,0_2557,8
1554,0_2558,23
1555,0_2559,24
1556,0_2560,7
1557,0_2561,25
1558,0_2562,28
1559,0_2563,4
1560,0_2565,27
1561,0_2567,24
1562,0_2568,8
